nombre_original;nombre_amigable;Categoria;Cantidad;Unidad;Material;SCH / Espesor;Rating;Mantenimiento;Observaciones;Ficha técnica;Manual;Imagen
302C209-1-solid1_4;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;Activos\Imagenes\Manómetros\PI01.png
484D215-1-solid1_4;MANÓMETRO 0-1200 psig;MAN/ACC;;;316;;;;"4.5""  DISPLAY, TOMA 1/2 NPT POR DEBAJO";;;
Solid1_28;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Sólido2_5;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;;;;;
Solid1_22;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid1_625; ss-4-wvcr-6-400_02;;;;Génerico;;;;;;;
Sólido3_1;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;;;;;
Sólido1_17;REGISTRADOR ANALOGICO DE PRESIÓN;Equipos;;;Génerico;;;;;;;Activos\Imagenes\REGISTRADOR\CTRL-01.png
Solid1_30;"CONECTOR RECTO 1/4""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/4"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Solid2_18;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid2_16;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid2_129;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Solid7_2;"TEE RECTA 4""";Accesorios soldados;;;Acero, carbono;;;;SCH STD ASTM 234;;;
Solid1_151;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Solid1_8;"CODO 1/2"" 90°";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CODO DE 90° 1/2"" MNPT x 1/2"" OD";;;Activos\Imagenes\Codos\CON-02.png
Solid1_108;"REDUCCIÓN BUSHING 3/4"" X 1/2""";Accesorios roscados;;;Acero, forjado;;;;"Wrought Steel Threaded Pipe Fittings-Hex Head Bushing Threaded-NPT ,Nº de pieza: GB/T 14383 3/4x1/2 ""HHB NPT""";;;
�����3_4;"VÁLVULA DE BOLA 3/4""";Equipos;;;Génerico;;;;#3000, FNPT- FNPT, ASTM A105, METSO, Mod: Eliminator;;;
Solid2_11;"NIPLE ROSCADO 3/4""-2""";Accesorios roscados;;;Génerico;;;;" NIPLE 3/4"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Sólido1_6;"SOPORTE TUBO 4""";Soportes;;;Génerico;;;;;;;
Solid3_348;"BRIDA WN 4""";Accesorios soldados;;;Acero, carbono;;;; ASTM-A-694-F-61;;;
Solid2_342;"ESPARRÁGO BRIDA 4""";Tornillería;;;Génerico;;;;" ASTM A193 GR.B7-CC/7-2H, ESPARRAGO 5/8"" x 3.75 in Long";;;Activos\Imagenes\Esparrágo\ESP01.png
Solid1_145;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Sólido1_22;MEDIDOR ROTATIVO G250;Equipos;;;Génerico;;;; MEDIDOR ROTATIVO G250 - Twin - 4in;;;
Sólido1_24;MEDIDOR ROTATIVO G250;Equipos;;;Génerico;;;; MEDIDOR ROTATIVO G250 - Twin - 4in;;;
Solid1_136;"TUBO 4""";Tubería;;;Acero, carbono;;;;SCH. STD. API 5L Gr. B;;;
Sólido1_9;"SOPORTE TUBO 4""";Soportes;;;Génerico;;;;;;;
Solid2_131;"VÁLVULA DE BOLA  2 CUERPOS 4""";Equipos;;;Génerico;;;;RF-ANSI 300;;;Activos/Imagenes/Valvulas/Valvulabola.png
Sólido1_12;SPECTACLE BLIND 4 ANSI 150;Equipos;;;Génerico;;;;;;;
Solid2_344;"ESPARRÁGO BRIDA 4""";Tornillería;;;Génerico;;;;" ASTM A193 GR.B7-CC/7-2H, ESPARRAGO 5/8"" x 3.75 in Long";;;Activos\Imagenes\Esparrágo\ESP01.png
Solid1_1;"CODO 4""-90°";Accesorios soldados;;;Acero,Carbono;;;; RL. SCH. STD. ASTM A860 WPHY 52;;;Activos\Imagenes\Codos\CODO-02.png
Solid1_21;"CONECTOR RECTO 1/2""";Accesorios roscados;;;Acero inoxidable, austenítico;;;;"CONECTOR RECTO 1/2"" OD x 1/4"" NPT";;;Activos\Imagenes\Conector\CON-01.png
Sólido6_3;BARRIDO DE TUBERÍA;Tubería;;;Cobre;;;; ASTM B 88 Tubo 1/2 - Type L;;;
Solid1_9;"CODO 1/2"" 90°";Accesorios soldados;;;Acero inoxidable, austenítico;;;;"CODO DE 90° 1/2"" MNPT x 1/2"" OD";;;Activos\Imagenes\Codos\CON-02.png
Solid1_522;MANIFOLD 3 VIAS;Equipos;;;Génerico;;;;;;;
Solid1_525;"TAPÓN 1/2"" ";Tornillería;;;Acero;;;;ASME B16.11 Tapón de cabeza hexagonal 1/2;;;Activos\Imagenes\Esparrágo\TAPON01.png
Solid1_676;MANIJA GAUGE VALVE;Accesorios roscados;;;Acero inoxidable;;;;;;;Activos\Imagenes\Manija\MAN01.png
Solid2;"NIPLE ROSCADO 1/2""-2""";Accesorios roscados;;;Génerico;;;;"MNPT API 5L Gr.B,NIPLE 1/2"" x 2"" Long x 2"" Long - Sch.STD";;;Activos\Imagenes\Esparrágo\Niple01.png
Sólido1_20;TRANSMISOR DE PRESIÓN;Equipos;;;Génerico;;;;;;;Activos\Imagenes\REGISTRADOR\PIT-01.png
Sólido1_19;TRANSMISOR DE PRESIÓN;Equipos;;;Génerico;;;;;;;Activos\Imagenes\REGISTRADOR\PIT-01.png
